age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa
55-64,Mujer,University degree,Australia,White,49,39,45,30,30,16.29%,11.83%,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,UK,White,32,27,29,30,47,14.64%,3.77%,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,UK,White,28,45,51,53,33,13.63%,11.83%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Never Used
65+,Mujer,Left school before 16 years,UK,White,25,43,38,39,53,18.83%,7.00%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
45-54,Mujer,University degree,UK,White,40,33,40,50,35,16.29%,11.62%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,51,16,37,45,34,14.64%,4.62%,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Never Used,Used over a Decade Ago
55-64,Mujer,University degree,UK,White,34,44,54,48,51,18.83%,11.19%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
45-54,Mujer,"Some college or university, no certificate or degree",UK,White,28,37,37,49,42,18.83%,13.21%,Used in Last Week,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used
55-64,Hombre,Left school at 18 years,Canada,White,35,28,24,38,46,13.63%,4.62%,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,University degree,UK,White,41,31,46,43,25,5.52%,13.21%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Decade,Never Used,Never Used
35-44,Hombre,Masters degree,UK,White,36,29,41,45,50,13.63%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Doctorate degree,UK,White,24,51,52,49,53,18.83%,11.19%,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,39,34,37,33,37,14.64%,11.62%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
35-44,Hombre,Left school at 16 years,Other,White,25,34,47,39,42,14.64%,8.97%,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Mujer,University degree,UK,White,28,31,46,46,42,13.63%,8.97%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
18-24,Mujer,University degree,UK,White,40,38,48,51,41,16.29%,4.62%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Mujer,University degree,USA,Other,46,44,52,23,36,11.46%,5.46%,Used in Last Month,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Never Used,Used over a Decade Ago
65+,Mujer,Left school before 16 years,UK,White,33,34,28,41,36,11.46%,4.62%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,University degree,UK,White,33,36,45,43,30,18.83%,11.83%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55-64,Mujer,Left school before 16 years,USA,White,39,42,53,44,37,11.46%,11.19%,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
45-54,Mujer,University degree,UK,White,22,48,48,43,47,18.83%,8.97%,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
65+,Hombre,Professional certificate/ diploma,UK,White,33,33,38,38,45,14.64%,11.83%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Month,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Mujer,Masters degree,UK,White,36,37,46,29,47,16.29%,11.62%,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Hombre,University degree,UK,White,44,40,53,54,39,18.83%,11.83%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Mujer,Masters degree,UK,White,34,33,37,43,37,18.83%,11.19%,Used in Last Day,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Month,Used in Last Day,Never Used,Used in Last Month,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,UK,White,27,36,44,42,34,18.83%,11.83%,Used in Last Day,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Mujer,University degree,UK,Other,26,49,49,51,48,18.83%,11.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,University degree,UK,White,31,43,54,49,52,14.64%,3.77%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Hombre,"Some college or university, no certificate or degree",Canada,White,39,44,38,45,51,16.29%,8.97%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
45-54,Mujer,Masters degree,UK,White,19,45,48,49,49,1.06%,7.00%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,37,34,44,42,37,13.63%,8.97%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Week,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
25-34,Hombre,Masters degree,UK,Mixed-White/Black,44,36,32,37,44,11.46%,11.14%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
35-44,Mujer,Masters degree,UK,White,46,39,45,35,42,16.29%,8.97%,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,Canada,White,47,46,42,37,27,5.52%,5.46%,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
55-64,Hombre,University degree,UK,White,34,40,36,45,36,11.46%,4.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Mujer,Masters degree,UK,White,23,39,53,45,44,18.83%,11.83%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
55-64,Mujer,Left school at 16 years,UK,White,36,47,42,36,33,7.85%,11.14%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Day,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
55-64,Hombre,Professional certificate/ diploma,UK,White,36,35,38,40,39,14.64%,3.77%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Hombre,"Some college or university, no certificate or degree",UK,White,36,40,34,43,44,14.64%,4.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,University degree,UK,White,30,44,32,45,47,16.29%,11.19%,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Left school at 18 years,UK,White,38,44,46,40,39,5.52%,11.14%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Week,Used in Last Decade,Used in Last Year,Used over a Decade Ago,Used in Last Year,Used in Last Year,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
45-54,Mujer,University degree,UK,White,31,31,37,32,41,14.64%,4.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,Doctorate degree,UK,White,49,42,48,41,40,14.64%,11.62%,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Mujer,Masters degree,UK,Asian,18,50,54,44,50,14.64%,7.00%,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago
25-34,Mujer,University degree,UK,White,30,30,33,34,45,14.64%,7.00%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used
45-54,Mujer,University degree,UK,White,46,38,41,39,42,14.64%,7.00%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Doctorate degree,UK,White,22,43,53,40,48,14.64%,11.19%,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
35-44,Mujer,"Some college or university, no certificate or degree",UK,White,43,43,40,50,46,11.46%,11.83%,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,26,35,38,51,45,16.29%,7.00%,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Mujer,Masters degree,UK,White,32,38,53,37,41,10.34%,11.83%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Week,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,Other,White,27,40,48,42,40,18.83%,11.62%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Week,Used in Last Decade,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
45-54,Hombre,Left school at 16 years,UK,White,35,35,34,45,42,14.64%,8.97%,Used in Last Day,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Mujer,"Some college or university, no certificate or degree",UK,White,32,38,47,30,40,11.46%,11.19%,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Month,Used in Last Decade,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
45-54,Hombre,Left school at 18 years,Canada,White,31,47,44,50,43,1.06%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Left school at 18 years,UK,White,22,46,46,46,48,13.63%,13.21%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,UK,White,29,36,44,45,49,16.29%,11.83%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
65+,Hombre,Left school at 16 years,UK,White,25,27,26,33,44,11.46%,3.77%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Mujer,University degree,UK,White,34,41,35,38,39,11.46%,11.83%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Hombre,Left school at 17 years,Canada,White,32,35,35,46,46,1.06%,3.77%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,University degree,UK,White,37,28,42,35,39,18.83%,3.77%,Used in Last Year,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,"Some college or university, no certificate or degree",UK,White,28,34,31,32,25,1.06%,7.00%,Used in Last Day,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used over a Decade Ago
35-44,Mujer,Professional certificate/ diploma,UK,White,32,34,32,50,37,18.83%,11.83%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
65+,Hombre,Doctorate degree,Canada,White,36,42,49,42,51,18.83%,11.83%,Used in Last Day,Never Used,Never Used,Used in Last Year,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55-64,Hombre,University degree,UK,White,28,31,46,37,41,10.34%,13.21%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
